시군구명,연령(구분),사업장가입자,지역가입자,임의가입자,임의계속가입자
경기도 가평군,25_29,1001,747,4,0
경기도 가평군,30_34,1088,743,3,0
경기도 가평군,35_39,1177,681,13,0
경기도 양평군,18_19,37,57,18,0
경기도 양평군,20_24,458,839,27,0
경기도 양평군,25_29,1372,1282,4,0
경기도 양평군,30_34,1766,1524,7,0
경기도 양평군,35_39,1646,1395,27,0
강원도 춘천시,18_19,177,312,32,0
강원도 춘천시,20_24,2454,3843,117,0
강원도 춘천시,25_29,7222,4581,28,0
강원도 춘천시,30_34,7804,3702,28,0
강원도 춘천시,35_39,6795,2909,85,0
강원도 원주시,18_19,251,287,40,0
강원도 원주시,20_24,3147,3730,93,0
강원도 원주시,25_29,11014,5289,21,0
강원도 원주시,30_34,14608,4739,42,0
강원도 원주시,35_39,11883,4082,113,0
강원도 강릉시,18_19,124,226,18,0
강원도 강릉시,20_24,1613,2181,38,0
강원도 강릉시,25_29,4309,2596,8,0
강원도 강릉시,30_34,4382,2241,11,0
강원도 강릉시,35_39,4043,2070,36,0
강원도 동해시,18_19,32,81,11,0
강원도 동해시,20_24,416,742,26,0
강원도 동해시,25_29,1233,880,2,0
강원도 동해시,30_34,1287,704,9,0
강원도 동해시,35_39,1229,689,31,0
강원도 태백시,18_19,17,63,0,0
강원도 태백시,20_24,186,324,3,0
강원도 태백시,25_29,498,271,0,0
강원도 태백시,30_34,478,223,0,0
강원도 태백시,35_39,489,229,2,0
강원도 속초시,18_19,44,169,4,0
강원도 속초시,20_24,564,878,6,0
강원도 속초시,25_29,1322,943,1,0
강원도 속초시,30_34,1417,938,3,0
강원도 속초시,35_39,1352,876,11,0
강원도 삼척시,18_19,14,85,4,0
강원도 삼척시,20_24,248,886,25,0
강원도 삼척시,25_29,821,595,3,0
강원도 삼척시,30_34,997,447,5,0
강원도 삼척시,35_39,1030,406,16,0
강원도 홍천군,18_19,33,68,1,0
강원도 홍천군,20_24,616,517,4,0
강원도 홍천군,25_29,1288,595,3,0
강원도 홍천군,30_34,1492,585,4,0
강원도 홍천군,35_39,1401,603,10,0
강원도 횡성군,18_19,77,37,3,0
강원도 횡성군,20_24,559,283,5,0
강원도 횡성군,25_29,1085,377,0,0
강원도 횡성군,30_34,1126,388,3,0
강원도 횡성군,35_39,1105,349,6,0
강원도 영월군,18_19,7,56,4,0
강원도 영월군,20_24,163,286,2,0
강원도 영월군,25_29,469,286,0,0
강원도 영월군,30_34,553,249,5,0
강원도 영월군,35_39,571,275,7,0
강원도 평창군,18_19,127,54,4,0
강원도 평창군,20_24,710,337,5,0
강원도 평창군,25_29,814,411,3,0
강원도 평창군,30_34,776,357,0,0
강원도 평창군,35_39,788,361,5,0
강원도 정선군,18_19,303,32,0,0
강원도 정선군,20_24,830,213,4,0
강원도 정선군,25_29,885,215,1,0
강원도 정선군,30_34,868,210,1,0
강원도 정선군,35_39,1235,237,2,0
강원도 철원군,18_19,5,21,3,0
강원도 철원군,20_24,132,339,7,0
강원도 철원군,25_29,412,401,2,0
강원도 철원군,30_34,566,345,4,0
강원도 철원군,35_39,549,346,6,0
강원도 화천군,18_19,3,14,2,0
강원도 화천군,20_24,69,159,1,0
강원도 화천군,25_29,195,177,0,0
강원도 화천군,30_34,303,162,2,0
강원도 화천군,35_39,331,161,11,0
강원도 양구군,18_19,3,7,3,0
강원도 양구군,20_24,78,131,2,0
강원도 양구군,25_29,229,164,1,0
강원도 양구군,30_34,285,171,1,0
강원도 양구군,35_39,297,162,8,0
강원도 인제군,18_19,8,24,3,0
강원도 인제군,20_24,123,205,4,0
강원도 인제군,25_29,314,232,0,0
강원도 인제군,30_34,406,231,6,0
강원도 인제군,35_39,439,220,11,0
강원도 고성군,18_19,13,38,1,0
강원도 고성군,20_24,265,211,4,0
